STATE,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,SEASON,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Louisiana,2017,3,1381,197,58,18.46,14.27,4.2,Level 7,Moderate,Jan-21-2017,2016-17,3.63411,1965,99,54071
Maine,2017,3,122,30,0,24.59,24.59,0,Level 1,Minimal,Jan-21-2017,2016-17,0.908373,46,28,5064
Maryland,2017,3,230,34,12,20,14.78,5.22,Level 3,Minimal,Jan-21-2017,2016-17,2.73316,228,40,8342
Massachusetts,2017,3,1098,184,11,17.76,16.76,1,Level 3,Minimal,Jan-21-2017,2016-17,1.51277,423,47,27962
Michigan,2017,3,1396,157,36,13.83,11.25,2.58,Level 3,Minimal,Jan-21-2017,2016-17,2.14959,486,76,22609
Minnesota,2017,3,673,109,5,16.94,16.2,0.74,Level 5,Low,Jan-21-2017,2016-17,3.40085,225,21,6616
Mississippi,2017,3,141,11,4,10.64,7.8,2.84,Level 6,Moderate,Jan-21-2017,2016-17,4.1751,763,48,18275
Missouri,2017,3,1028,120,16,13.23,11.67,1.56,Level 8,High,Jan-21-2017,2016-17,3.74388,283,19,7559
Montana,2017,3,240,54,1,22.92,22.5,0.42,Level 1,Minimal,Jan-21-2017,2016-17,0.48226,14,9,2903
Nebraska,2017,3,192,44,0,22.92,22.92,0,Level 6,Moderate,Jan-21-2017,2016-17,2.86899,83,13,2893
Nevada,2017,3,28,6,0,21.43,21.43,0,Level 3,Minimal,Jan-21-2017,2016-17,1.61179,281,35,17434
New Hampshire,2017,3,51,1,1,3.92,1.96,1.96,Level 1,Minimal,Jan-21-2017,2016-17,0.517007,19,21,3675
New Jersey,2017,3,0,0,0,0,0,0,Level 10,High,Jan-21-2017,2016-17,5.9981,1009,29,16822
New Mexico,2017,3,530,51,1,9.81,9.62,0.19,Level 4,Low,Jan-21-2017,2016-17,2.7369,305,27,11144
New York,2017,3,3787,922,53,25.75,24.35,1.4,Level 10,High,Jan-21-2017,2016-17,6.78861,913,68,13449
North Carolina,2017,3,507,64,6,13.81,12.62,1.18,Level 4,Low,Jan-21-2017,2016-17,2.66282,397,49,14909
North Dakota,2017,3,88,19,0,21.59,21.59,0,Level 1,Minimal,Jan-21-2017,2016-17,1.88273,35,10,1859
Ohio,2017,3,2603,360,60,16.14,13.83,2.31,Level 2,Minimal,Jan-21-2017,2016-17,1.73702,358,71,20610
Oklahoma,2017,3,292,27,3,10.27,9.25,1.03,Level 10,High,Jan-21-2017,2016-17,8.77725,463,19,5275
Oregon,2017,3,1370,430,7,31.9,31.39,0.51,Level 4,Low,Jan-21-2017,2016-17,2.63546,143,19,5426
Pennsylvania,2017,3,1051,173,19,18.27,16.46,1.81,Level 7,Moderate,Jan-21-2017,2016-17,3.37152,465,60,13792
Rhode Island,2017,3,0,0,0,0,0,0,Level 2,Minimal,Jan-21-2017,2016-17,0.838574,28,16,3339
South Carolina,2017,3,467,32,25,12.21,6.85,5.35,Level 10,High,Jan-21-2017,2016-17,5.70071,360,16,6315
South Dakota,2017,3,279,48,1,17.56,17.2,0.36,Level 5,Low,Jan-21-2017,2016-17,2.57515,245,34,9514
Tennessee,2017,3,268,26,6,11.94,9.7,2.24,Level 7,Moderate,Jan-21-2017,2016-17,4.09586,417,57,10181
Texas,2017,3,2417,340,55,16.34,14.07,2.28,Level 5,Low,Jan-21-2017,2016-17,5.47691,1563,112,28538
Utah,2017,3,1095,183,1,16.8,16.71,0.09,Level 6,Moderate,Jan-21-2017,2016-17,2.89367,292,30,10091
Vermont,2017,3,270,32,4,13.33,11.85,1.48,Level 1,Minimal,Jan-21-2017,2016-17,1.1658,27,9,2316
Virginia,2017,3,405,33,6,9.63,8.15,1.48,Level 6,Moderate,Jan-21-2017,2016-17,3.19863,3049,145,95322
Washington,2017,3,1972,480,17,25.2,24.34,0.86,Level 9,High,Jan-21-2017,2016-17,4.19013,186,45,4439
West Virginia,2017,3,696,53,19,10.34,7.61,2.73,Level 4,Low,Jan-21-2017,2016-17,2.64722,619,44,23383
Wisconsin,2017,3,1362,155,24,13.14,11.38,1.76,Level 2,Minimal,Jan-21-2017,2016-17,2.62467,150,25,5715
Wyoming,2017,3,0,0,0,0,0,0,Level 5,Low,Jan-21-2017,2016-17,2.57927,109,22,4226
Puerto Rico,2017,3,0,0,0,0,0,0,Level 5,Low,Jan-21-2017,2016-17,5.35672,226,8,4219
Virgin Islands,2017,3,0,0,0,0,0,0,Level 0,Insufficient Data,Jan-21-2017,2016-17,0.89955,6,2,667
New York City,2017,3,0,0,0,0,0,0,Level 9,High,Jan-21-2017,2016-17,4.0849,4359,78,106710
Alabama,2017,4,766,79,18,12.66,10.31,2.35,Level 10,High,Jan-28-2017,2016-17,5.26563,449,25,8527
Alaska,2017,4,0,0,0,0,0,0,Level 3,Minimal,Jan-28-2017,2016-17,1.91713,31,6,1617
Arizona,2017,4,299,10,0,3.34,3.34,0,Level 4,Low,Jan-28-2017,2016-17,2.19555,569,54,25916
Arkansas,2017,4,111,12,0,10.81,10.81,0,Level 8,High,Jan-28-2017,2016-17,4.0372,178,13,4409
California,2017,4,1725,211,8,12.7,12.23,0.46,Level 6,Moderate,Jan-28-2017,2016-17,3.11572,1700,129,54562
Colorado,2017,4,829,109,9,14.23,13.15,1.09,Level 5,Low,Jan-28-2017,2016-17,1.87467,70,5,3734
Connecticut,2017,4,693,130,7,19.77,18.76,1.01,Level 4,Low,Jan-28-2017,2016-17,3.72844,134,14,3594
Delaware,2017,4,226,54,3,25.22,23.89,1.33,Level 1,Minimal,Jan-28-2017,2016-17,0.356761,10,13,2803
District of Columbia,2017,4,0,0,0,0,0,0,Level 0,Insufficient Data,Jan-28-2017,2016-17,7.38916,195,2,2639
Florida,2017,4,0,0,0,0,0,0,Level 5,Low,Jan-28-2017,2016-17,X,X,X,X
Georgia,2017,4,1287,213,36,19.35,16.55,2.8,Level 10,High,Jan-28-2017,2016-17,4.17872,2370,58,56716
Hawaii,2017,4,246,18,9,10.98,7.32,3.66,Level 6,Moderate,Jan-28-2017,2016-17,5.1265,77,15,1502
Idaho,2017,4,125,33,0,26.4,26.4,0,Level 3,Minimal,Jan-28-2017,2016-17,1.71112,34,7,1987
Illinois,2017,4,678,67,37,15.34,9.88,5.46,Level 6,Moderate,Jan-28-2017,2016-17,3.222,1640,82,50900
Indiana,2017,4,267,26,1,10.11,9.74,0.37,Level 7,Moderate,Jan-28-2017,2016-17,3.42829,207,25,6038
Iowa,2017,4,301,76,7,27.57,25.25,2.33,Level 6,Moderate,Jan-28-2017,2016-17,2.64603,106,12,4006
Kansas,2017,4,138,12,0,8.7,8.7,0,Level 10,High,Jan-28-2017,2016-17,5.60356,415,28,7406
Kentucky,2017,4,363,25,0,6.89,6.89,0,Level 10,High,Jan-28-2017,2016-17,4.8653,540,29,11099
Louisiana,2017,4,1577,231,31,16.61,14.65,1.97,Level 7,Moderate,Jan-28-2017,2016-17,3.71262,1943,96,52335
Maine,2017,4,104,26,0,25,25,0,Level 1,Minimal,Jan-28-2017,2016-17,0.813173,40,28,4919
Maryland,2017,4,280,47,23,25,16.79,8.21,Level 3,Minimal,Jan-28-2017,2016-17,2.86498,261,42,9110
Massachusetts,2017,4,1392,235,14,17.89,16.88,1.01,Level 3,Minimal,Jan-28-2017,2016-17,1.79816,583,46,32422
Michigan,2017,4,1371,162,52,15.61,11.82,3.79,Level 4,Low,Jan-28-2017,2016-17,2.3959,580,76,24208
Minnesota,2017,4,706,115,8,17.42,16.29,1.13,Level 5,Low,Jan-28-2017,2016-17,3.3874,236,21,6967
Mississippi,2017,4,134,16,1,12.69,11.94,0.75,Level 5,Low,Jan-28-2017,2016-17,3.57162,663,49,18563
Missouri,2017,4,1123,126,17,12.73,11.22,1.51,Level 10,High,Jan-28-2017,2016-17,5.67474,410,18,7225
Montana,2017,4,234,41,2,18.38,17.52,0.85,Level 1,Minimal,Jan-28-2017,2016-17,0.312767,11,8,3517
Nebraska,2017,4,213,53,0,24.88,24.88,0,Level 5,Low,Jan-28-2017,2016-17,2.60756,80,13,3068
Nevada,2017,4,28,5,0,17.86,17.86,0,Level 3,Minimal,Jan-28-2017,2016-17,1.54401,308,36,19948
New Hampshire,2017,4,38,4,0,10.53,10.53,0,Level 1,Minimal,Jan-28-2017,2016-17,0.693756,28,21,4036
New Jersey,2017,4,0,0,0,0,0,0,Level 10,High,Jan-28-2017,2016-17,6.19741,1090,30,17588
New Mexico,2017,4,618,77,6,13.43,12.46,0.97,Level 5,Low,Jan-28-2017,2016-17,2.94725,371,28,12588
New York,2017,4,4271,1052,74,26.36,24.63,1.73,Level 10,High,Jan-28-2017,2016-17,7.54014,1174,69,15570
North Carolina,2017,4,521,59,9,13.05,11.32,1.73,Level 5,Low,Jan-28-2017,2016-17,2.84282,431,49,15161
North Dakota,2017,4,103,13,2,14.56,12.62,1.94,Level 7,Moderate,Jan-28-2017,2016-17,3.88794,68,8,1749
Ohio,2017,4,2647,378,85,17.49,14.28,3.21,Level 3,Minimal,Jan-28-2017,2016-17,1.99963,431,66,21554
Oklahoma,2017,4,340,56,8,18.82,16.47,2.35,Level 10,High,Jan-28-2017,2016-17,11.5014,609,20,5295
Oregon,2017,4,1213,315,15,27.21,25.97,1.24,Level 5,Low,Jan-28-2017,2016-17,2.97925,168,18,5639
Pennsylvania,2017,4,1008,199,25,22.22,19.74,2.48,Level 8,High,Jan-28-2017,2016-17,3.90425,535,57,13703
Rhode Island,2017,4,0,0,0,0,0,0,Level 5,Low,Jan-28-2017,2016-17,1.80101,82,16,4553
South Carolina,2017,4,539,50,31,15.03,9.28,5.75,Level 10,High,Jan-28-2017,2016-17,6.34603,475,15,7485
South Dakota,2017,4,258,48,0,18.6,18.6,0,Level 7,Moderate,Jan-28-2017,2016-17,3.25399,298,33,9158
Tennessee,2017,4,231,15,2,7.36,6.49,0.87,Level 8,High,Jan-28-2017,2016-17,4.20838,433,55,10289
Texas,2017,4,2699,402,74,17.64,14.89,2.74,Level 8,High,Jan-28-2017,2016-17,6.20619,1868,109,30099
Utah,2017,4,1073,150,2,14.17,13.98,0.19,Level 4,Low,Jan-28-2017,2016-17,2.04686,325,32,15878
Vermont,2017,4,254,27,2,11.42,10.63,0.79,Level 1,Minimal,Jan-28-2017,2016-17,1.4435,29,8,2009
Virginia,2017,4,411,46,8,13.14,11.19,1.95,Level 7,Moderate,Jan-28-2017,2016-17,3.30228,3173,145,96085
Washington,2017,4,1773,343,17,20.3,19.35,0.96,Level 5,Low,Jan-28-2017,2016-17,2.70833,130,45,4800
West Virginia,2017,4,563,38,20,10.3,6.75,3.55,Level 3,Minimal,Jan-28-2017,2016-17,2.56329,564,43,22003
Wisconsin,2017,4,1503,253,44,19.76,16.83,2.93,Level 3,Minimal,Jan-28-2017,2016-17,2.67524,179,26,6691
Wyoming,2017,4,0,0,0,0,0,0,Level 6,Moderate,Jan-28-2017,2016-17,3.04047,136,22,4473
Puerto Rico,2017,4,0,0,0,0,0,0,Level 7,Moderate,Jan-28-2017,2016-17,6.01822,284,9,4719
Virgin Islands,2017,4,0,0,0,0,0,0,Level 0,Insufficient Data,Jan-28-2017,2016-17,0.56926,6,3,1054
New York City,2017,4,0,0,0,0,0,0,Level 8,High,Jan-28-2017,2016-17,3.86655,4091,86,105805
Alabama,2017,5,1033,118,27,14.04,11.42,2.61,Level 10,High,Feb-04-2017,2016-17,6.47647,538,24,8307
Alaska,2017,5,0,0,0,0,0,0,Level 5,Low,Feb-04-2017,2016-17,2.29153,36,6,1571
Arizona,2017,5,294,11,0,3.74,3.74,0,Level 5,Low,Feb-04-2017,2016-17,2.44798,647,54,26430
Arkansas,2017,5,129,19,5,18.6,14.73,3.88,Level 10,High,Feb-04-2017,2016-17,6.71024,308,12,4590
California,2017,5,1820,248,12,14.29,13.63,0.66,Level 6,Moderate,Feb-04-2017,2016-17,3.19202,1667,121,52224
Colorado,2017,5,991,151,11,16.35,15.24,1.11,Level 6,Moderate,Feb-04-2017,2016-17,2.27024,83,5,3656
Connecticut,2017,5,721,164,5,23.44,22.75,0.69,Level 7,Moderate,Feb-04-2017,2016-17,4.43425,174,14,3924
Delaware,2017,5,306,89,6,31.05,29.08,1.96,Level 1,Minimal,Feb-04-2017,2016-17,0.726644,21,13,2890
District of Columbia,2017,5,0,0,0,0,0,0,Level 0,Insufficient Data,Feb-04-2017,2016-17,8.94928,247,2,2760
Florida,2017,5,0,0,0,0,0,0,Level 5,Low,Feb-04-2017,2016-17,X,X,X,X
Georgia,2017,5,1572,278,62,21.63,17.68,3.94,Level 10,High,Feb-04-2017,2016-17,4.72879,2666,58,56378
Hawaii,2017,5,266,25,4,10.9,9.4,1.5,Level 4,Low,Feb-04-2017,2016-17,4.27655,60,16,1403
Idaho,2017,5,120,20,0,16.67,16.67,0,Level 3,Minimal,Feb-04-2017,2016-17,1.69492,34,7,2006
Illinois,2017,5,689,120,50,24.67,17.42,7.26,Level 7,Moderate,Feb-04-2017,2016-17,3.58104,1810,81,50544
Indiana,2017,5,294,54,8,21.09,18.37,2.72,Level 10,High,Feb-04-2017,2016-17,4.58925,281,26,6123
Iowa,2017,5,476,134,29,34.24,28.15,6.09,Level 5,Low,Feb-04-2017,2016-17,2.25039,87,11,3866
Kansas,2017,5,165,22,1,13.94,13.33,0.61,Level 10,High,Feb-04-2017,2016-17,8.52463,635,28,7449
Kentucky,2017,5,386,34,2,9.33,8.81,0.52,Level 10,High,Feb-04-2017,2016-17,4.51889,464,27,10268
Louisiana,2017,5,1822,349,87,23.93,19.15,4.77,Level 10,High,Feb-04-2017,2016-17,4.69911,2473,97,52627
Maine,2017,5,137,44,1,32.85,32.12,0.73,Level 1,Minimal,Feb-04-2017,2016-17,0.931446,50,27,5368
Maryland,2017,5,285,63,8,24.91,22.11,2.81,Level 4,Low,Feb-04-2017,2016-17,2.90698,275,42,9460
Massachusetts,2017,5,1324,288,16,22.96,21.75,1.21,Level 5,Low,Feb-04-2017,2016-17,2.23652,737,47,32953
Michigan,2017,5,1622,205,63,16.52,12.64,3.88,Level 6,Moderate,Feb-04-2017,2016-17,3.16458,777,77,24553
Minnesota,2017,5,775,133,13,18.84,17.16,1.68,Level 5,Low,Feb-04-2017,2016-17,3.44587,247,21,7168
Mississippi,2017,5,156,26,4,19.23,16.67,2.56,Level 10,High,Feb-04-2017,2016-17,5.50059,1112,51,20216
Missouri,2017,5,1141,149,28,15.51,13.06,2.45,Level 10,High,Feb-04-2017,2016-17,6.49829,476,18,7325
Montana,2017,5,223,34,1,15.7,15.25,0.45,Level 1,Minimal,Feb-04-2017,2016-17,0.504484,18,9,3568
Nebraska,2017,5,251,65,5,27.89,25.9,1.99,Level 6,Moderate,Feb-04-2017,2016-17,3.20242,106,13,3310
Nevada,2017,5,32,15,0,46.88,46.88,0,Level 4,Low,Feb-04-2017,2016-17,1.76521,332,35,18808
New Hampshire,2017,5,34,1,0,2.94,2.94,0,Level 1,Minimal,Feb-04-2017,2016-17,0.632431,25,20,3953
New Jersey,2017,5,0,0,0,0,0,0,Level 10,High,Feb-04-2017,2016-17,6.76102,1180,31,17453
New Mexico,2017,5,639,124,3,19.87,19.41,0.47,Level 8,High,Feb-04-2017,2016-17,4.10959,504,27,12264
New York,2017,5,4288,1129,64,27.82,26.33,1.49,Level 10,High,Feb-04-2017,2016-17,8.68115,1431,69,16484
North Carolina,2017,5,752,164,18,24.2,21.81,2.39,Level 10,High,Feb-04-2017,2016-17,5.17611,773,48,14934
North Dakota,2017,5,103,13,1,13.59,12.62,0.97,Level 6,Moderate,Feb-04-2017,2016-17,3.77868,84,9,2223
Ohio,2017,5,2750,438,112,20,15.93,4.07,Level 5,Low,Feb-04-2017,2016-17,2.73095,533,65,19517
Oklahoma,2017,5,454,72,24,21.15,15.86,5.29,Level 10,High,Feb-04-2017,2016-17,15.5039,780,17,5031
Oregon,2017,5,1058,269,16,26.94,25.43,1.51,Level 5,Low,Feb-04-2017,2016-17,3.01508,180,21,5970
Pennsylvania,2017,5,1160,280,33,26.98,24.14,2.84,Level 10,High,Feb-04-2017,2016-17,4.18771,655,58,15641
Rhode Island,2017,5,0,0,0,0,0,0,Level 7,Moderate,Feb-04-2017,2016-17,2.48487,115,16,4628
South Carolina,2017,5,540,54,26,14.81,10,4.81,Level 10,High,Feb-04-2017,2016-17,7.10465,425,13,5982
South Dakota,2017,5,328,66,7,22.26,20.12,2.13,Level 10,High,Feb-04-2017,2016-17,4.05593,409,34,10084
Tennessee,2017,5,301,33,11,14.62,10.96,3.65,Level 10,High,Feb-04-2017,2016-17,4.93514,544,57,11023
Texas,2017,5,3425,664,107,22.51,19.39,3.12,Level 10,High,Feb-04-2017,2016-17,8.48188,2774,112,32705
Utah,2017,5,1056,166,6,16.29,15.72,0.57,Level 3,Minimal,Feb-04-2017,2016-17,1.60697,297,32,18482
Vermont,2017,5,202,20,4,11.88,9.9,1.98,Level 1,Minimal,Feb-04-2017,2016-17,1.91404,57,10,2978
Virginia,2017,5,268,70,4,27.61,26.12,1.49,Level 8,High,Feb-04-2017,2016-17,3.73817,3603,148,96384
Washington,2017,5,1606,245,24,16.75,15.26,1.49,Level 3,Minimal,Feb-04-2017,2016-17,2.04619,101,47,4936
West Virginia,2017,5,644,33,11,6.83,5.12,1.71,Level 4,Low,Feb-04-2017,2016-17,2.89023,574,44,19860
Wisconsin,2017,5,1558,357,51,26.19,22.91,3.27,Level 5,Low,Feb-04-2017,2016-17,3.42476,231,24,6745
Wyoming,2017,5,0,0,0,0,0,0,Level 10,High,Feb-04-2017,2016-17,4.33029,204,23,4711
Puerto Rico,2017,5,0,0,0,0,0,0,Level 6,Moderate,Feb-04-2017,2016-17,5.65314,280,9,4953
Virgin Islands,2017,5,0,0,0,0,0,0,Level 0,Insufficient Data,Feb-04-2017,2016-17,0.652742,5,2,766
New York City,2017,5,0,0,0,0,0,0,Level 8,High,Feb-04-2017,2016-17,3.75647,3892,88,103608
Alabama,2017,6,1219,143,47,15.59,11.73,3.86,Level 10,High,Feb-11-2017,2016-17,7.76346,705,24,9081
Alaska,2017,6,0,0,0,0,0,0,Level 7,Moderate,Feb-11-2017,2016-17,3.71517,60,6,1615
Arizona,2017,6,378,18,8,6.88,4.76,2.12,Level 5,Low,Feb-11-2017,2016-17,2.4757,670,54,27063
Arkansas,2017,6,192,50,1,26.56,26.04,0.52,Level 10,High,Feb-11-2017,2016-17,9.78239,481,13,4917
California,2017,6,1844,276,11,15.56,14.97,0.6,Level 5,Low,Feb-11-2017,2016-17,2.69419,1395,118,51778
Colorado,2017,6,1062,166,22,17.7,15.63,2.07,Level 5,Low,Feb-11-2017,2016-17,2.03286,73,5,3591
Connecticut,2017,6,711,189,9,27.85,26.58,1.27,Level 10,High,Feb-11-2017,2016-17,5.45754,232,17,4251
Delaware,2017,6,327,102,8,33.64,31.19,2.45,Level 1,Minimal,Feb-11-2017,2016-17,0.638468,16,13,2506
District of Columbia,2017,6,0,0,0,0,0,0,Level 0,Insufficient Data,Feb-11-2017,2016-17,9.39163,247,2,2630
Florida,2017,6,0,0,0,0,0,0,Level 5,Low,Feb-11-2017,2016-17,X,X,X,X
Georgia,2017,6,1718,263,95,20.84,15.31,5.53,Level 10,High,Feb-11-2017,2016-17,5.08384,3038,58,59758
Hawaii,2017,6,240,15,6,8.75,6.25,2.5,Level 4,Low,Feb-11-2017,2016-17,3.75683,55,15,1464
Idaho,2017,6,112,19,0,16.96,16.96,0,Level 3,Minimal,Feb-11-2017,2016-17,1.76899,34,8,1922
Illinois,2017,6,1058,193,85,26.28,18.24,8.03,Level 9,High,Feb-11-2017,2016-17,4.36443,2297,81,52630
Indiana,2017,6,400,84,15,24.75,21,3.75,Level 10,High,Feb-11-2017,2016-17,4.71858,306,25,6485
Iowa,2017,6,590,165,30,33.05,27.97,5.08,Level 8,High,Feb-11-2017,2016-17,3.20677,125,11,3898
Kansas,2017,6,203,31,6,18.23,15.27,2.96,Level 10,High,Feb-11-2017,2016-17,10.3592,796,28,7684
Kentucky,2017,6,441,76,4,18.14,17.23,0.91,Level 10,High,Feb-11-2017,2016-17,6.5129,689,25,10579
Louisiana,2017,6,2217,424,136,25.26,19.12,6.13,Level 10,High,Feb-11-2017,2016-17,5.52013,2978,97,53948
Maine,2017,6,180,64,0,35.56,35.56,0,Level 1,Minimal,Feb-11-2017,2016-17,1.61117,75,28,4655
Maryland,2017,6,375,105,19,33.07,28,5.07,Level 9,High,Feb-11-2017,2016-17,4.58397,422,42,9206
Massachusetts,2017,6,1581,413,31,28.08,26.12,1.96,Level 6,Moderate,Feb-11-2017,2016-17,2.73075,750,45,27465
Michigan,2017,6,2106,368,132,23.74,17.47,6.27,Level 7,Moderate,Feb-11-2017,2016-17,3.71318,1001,78,26958
Minnesota,2017,6,876,141,25,18.95,16.1,2.85,Level 8,High,Feb-11-2017,2016-17,4.41595,279,20,6318
Mississippi,2017,6,228,40,4,19.3,17.54,1.75,Level 10,High,Feb-11-2017,2016-17,6.42202,1365,51,21255
Missouri,2017,6,1439,210,62,18.9,14.59,4.31,Level 10,High,Feb-11-2017,2016-17,6.74594,556,18,8242
Montana,2017,6,212,32,9,19.34,15.09,4.25,Level 1,Minimal,Feb-11-2017,2016-17,0.542083,19,9,3505
Nebraska,2017,6,286,77,7,29.37,26.92,2.45,Level 9,High,Feb-11-2017,2016-17,4.17193,132,14,3164
Nevada,2017,6,34,6,0,17.65,17.65,0,Level 4,Low,Feb-11-2017,2016-17,1.7554,335,35,19084
New Hampshire,2017,6,29,5,0,17.24,17.24,0,Level 2,Minimal,Feb-11-2017,2016-17,1.19889,39,19,3253
New Jersey,2017,6,0,0,0,0,0,0,Level 10,High,Feb-11-2017,2016-17,6.92602,1175,31,16965
New Mexico,2017,6,946,203,14,22.94,21.46,1.48,Level 10,High,Feb-11-2017,2016-17,4.93837,641,28,12980
New York,2017,6,4243,1171,95,29.84,27.6,2.24,Level 10,High,Feb-11-2017,2016-17,9.81455,1466,68,14937
North Carolina,2017,6,890,208,18,25.39,23.37,2.02,Level 10,High,Feb-11-2017,2016-17,5.64241,877,47,15543
North Dakota,2017,6,141,22,2,17.02,15.6,1.42,Level 9,High,Feb-11-2017,2016-17,5.19645,123,12,2367
Ohio,2017,6,3486,636,342,28.06,18.24,9.81,Level 6,Moderate,Feb-11-2017,2016-17,3.02016,659,73,21820
Oklahoma,2017,6,576,110,27,23.78,19.1,4.69,Level 10,High,Feb-11-2017,2016-17,14.9247,941,22,6305
Oregon,2017,6,912,169,9,19.52,18.53,0.99,Level 6,Moderate,Feb-11-2017,2016-17,3.29529,179,18,5432
Pennsylvania,2017,6,1323,354,53,30.76,26.76,4.01,Level 10,High,Feb-11-2017,2016-17,5.78649,735,54,12702
Rhode Island,2017,6,0,0,0,0,0,0,Level 10,High,Feb-11-2017,2016-17,4.09232,172,16,4203
South Carolina,2017,6,661,85,39,18.76,12.86,5.9,Level 10,High,Feb-11-2017,2016-17,6.8482,503,16,7345
South Dakota,2017,6,364,94,6,27.47,25.82,1.65,Level 10,High,Feb-11-2017,2016-17,4.90407,524,34,10685
Tennessee,2017,6,338,46,10,16.57,13.61,2.96,Level 10,High,Feb-11-2017,2016-17,7.38839,892,57,12073
Texas,2017,6,4145,892,185,25.98,21.52,4.46,Level 10,High,Feb-11-2017,2016-17,10.2826,3508,113,34116
Utah,2017,6,1176,155,2,13.35,13.18,0.17,Level 3,Minimal,Feb-11-2017,2016-17,1.5936,293,33,18386
Vermont,2017,6,224,38,6,19.64,16.96,2.68,Level 1,Minimal,Feb-11-2017,2016-17,1.28205,37,10,2886
Virginia,2017,6,406,125,7,32.51,30.79,1.72,Level 10,High,Feb-11-2017,2016-17,5.21859,5392,147,103323
Washington,2017,6,1293,130,18,11.45,10.05,1.39,Level 1,Minimal,Feb-11-2017,2016-17,1.25434,47,47,3747
West Virginia,2017,6,710,47,38,11.97,6.62,5.35,Level 4,Low,Feb-11-2017,2016-17,2.86889,628,45,21890
Wisconsin,2017,6,2184,642,96,33.79,29.4,4.4,Level 6,Moderate,Feb-11-2017,2016-17,3.6865,254,25,6890
Wyoming,2017,6,0,0,0,0,0,0,Level 8,High,Feb-11-2017,2016-17,3.76857,170,21,4511
Puerto Rico,2017,6,0,0,0,0,0,0,Level 6,Moderate,Feb-11-2017,2016-17,5.69272,279,9,4901
Virgin Islands,2017,6,0,0,0,0,0,0,Level 0,Insufficient Data,Feb-11-2017,2016-17,1.78571,13,2,728
New York City,2017,6,0,0,0,0,0,0,Level 8,High,Feb-11-2017,2016-17,3.73489,3744,84,100244
Alabama,2017,7,1279,167,77,19.08,13.06,6.02,Level 10,High,Feb-18-2017,2016-17,7.56183,691,25,9138
Alaska,2017,7,0,0,0,0,0,0,Level 8,High,Feb-18-2017,2016-17,4.28744,71,6,1656
Arizona,2017,7,349,17,1,5.16,4.87,0.29,Level 5,Low,Feb-18-2017,2016-17,2.29842,549,48,23886
Arkansas,2017,7,220,41,6,21.36,18.64,2.73,Level 10,High,Feb-18-2017,2016-17,9.19692,489,14,5317
California,2017,7,1797,192,12,11.35,10.68,0.67,Level 4,Low,Feb-18-2017,2016-17,2.52341,1245,113,49338
Colorado,2017,7,973,164,28,19.73,16.86,2.88,Level 1,Minimal,Feb-18-2017,2016-17,3.53982,8,5,226
Connecticut,2017,7,704,143,11,21.88,20.31,1.56,Level 10,High,Feb-18-2017,2016-17,5.30733,234,16,4409
Delaware,2017,7,334,93,9,30.54,27.84,2.69,Level 1,Minimal,Feb-18-2017,2016-17,1.28824,40,13,3105
District of Columbia,2017,7,0,0,0,0,0,0,Level 0,Insufficient Data,Feb-18-2017,2016-17,8.46287,196,2,2316
Florida,2017,7,0,0,0,0,0,0,Level 5,Low,Feb-18-2017,2016-17,X,X,X,X
Georgia,2017,7,1856,246,162,21.98,13.25,8.73,Level 10,High,Feb-18-2017,2016-17,6.11265,3221,53,52694
Hawaii,2017,7,204,13,13,12.75,6.37,6.37,Level 4,Low,Feb-18-2017,2016-17,3.7234,56,15,1504
Idaho,2017,7,91,17,0,18.68,18.68,0,Level 4,Low,Feb-18-2017,2016-17,1.99601,40,8,2004
Illinois,2017,7,1188,232,135,30.89,19.53,11.36,Level 10,High,Feb-18-2017,2016-17,4.76881,2435,81,51061
Indiana,2017,7,456,109,29,30.26,23.9,6.36,Level 10,High,Feb-18-2017,2016-17,5.99604,363,24,6054
Iowa,2017,7,572,149,37,32.52,26.05,6.47,Level 6,Moderate,Feb-18-2017,2016-17,2.7972,108,11,3861
Kansas,2017,7,305,32,2,11.15,10.49,0.66,Level 10,High,Feb-18-2017,2016-17,8.70335,590,27,6779
Kentucky,2017,7,496,74,4,15.73,14.92,0.81,Level 10,High,Feb-18-2017,2016-17,9.21883,1081,28,11726
Louisiana,2017,7,2136,406,141,25.61,19.01,6.6,Level 10,High,Feb-18-2017,2016-17,5.199,2832,98,54472
Maine,2017,7,241,74,7,33.61,30.71,2.9,Level 1,Minimal,Feb-18-2017,2016-17,1.20902,52,28,4301
Maryland,2017,7,441,116,38,34.92,26.3,8.62,Level 10,High,Feb-18-2017,2016-17,6.08186,581,43,9553
Massachusetts,2017,7,1483,359,37,26.7,24.21,2.49,Level 5,Low,Feb-18-2017,2016-17,2.4473,714,44,29175
Michigan,2017,7,2411,520,196,29.7,21.57,8.13,Level 10,High,Feb-18-2017,2016-17,4.60287,1115,74,24224
Minnesota,2017,7,991,169,64,23.51,17.05,6.46,Level 8,High,Feb-18-2017,2016-17,4.54856,333,20,7321
